,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
886,887, Oldtrader3| 65-74 Male  on Treatment for 10 years or more (Patient) ,4,5,4,I take 5mg per day for chronic headaches (Migraines).  It prevents headaches pretty well except when under stress.  It does make me somewhat anorexic and weight loss has been a problem.,65-74,Male
887,888, 24dupont48lowes| 35-44 Male  on Treatment for 1 to less than 2 years (Patient) ,5,5,4,I have been on several pain medications for nearly ten years.  Methadone is the most effective pain medicine that I have taken.  The only problems that I have had with Methadone is weight gain| and water retention.  This has bothered me so much that I have stopped taking it.  When you want to stop taking Methadone| slowly reduce your dosage| you do not want to stop cold turkey.  You will have some very painful nights as well as some sleepless ones also.  But stick with it| you can get through it.  Good luck.  PAIN STINKS.,35-44,Male
888,889, 45-54 Female  on Treatment for less than 1 month (Patient) ,4,5,5,I find that it makes me sleepy. and it does take awhile for it to take effect on the pain.,45-54,Female
889,890, GetHelpNow!| 25-34 Male  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,I was an opiate dependent for 5 years. I was self medicating due to severe anxiety. I then found out about a local Methadone clinic and it has changed my life! I know can work without worrying about how or where I'm going to get my next pills from. It has allowed me to focus on important things in my life. I no longer have to go through the terrible withdrawals when I run out of drugs. To make a long story short it has saved my life. I highly recommend getting put on Methadone if you are strung out on pills or heroin. Good Luck!,25-34,Male
890,891, tigergirl| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,4,4,4,Methadone has been a life saver for me. Although| I have heard all of the horror stories associated with it (online as well as my own family). My daughter is just being weened off from it from chronic pain syndrome as well. She is on SUBOXONE to detox. I know full well what lies ahead for me but for now I am still taking my 20mg. per day.,45-54,Female
891,892, putzilla| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,4,4,3,hadone isnt easy to come off of even if done right...you still get really sick and the effects last up to 3 week so if theres another way for you to detox try something els,25-34,Female
892,893, Lee| 35-44 Male  on Treatment for 1 to less than 2 years (Patient) ,3,4,3,When i first started using it it worked but now it does not work so w,35-44,Male
893,894, Bunny| 55-64 Female  on Treatment for 2 to less than 5 years (Patient) ,5,2,5,"Very useful for chronic and severe pain associated with fibromyalgia/rheumatoid arthritis.  Longer acing pain relief than morphine and oxycodone.||Only drug that has effectively controlled the deep and aching bone pain from these conditions. ||Sometimes| difficult to obtain and stigma associated with ""drug addicts"" eg. heroin withdrawal| etc. continues to present problematic behavior even with some pharmacists.  I had one even call me a ""heroin junky"" and a ""pharmacy shopper"" when I took my prescription to be filled.  ||The pharmacy I normally use did not have any methadone in stock. I had explained this to the pharmacy technician who neglected to convey this information to the pharmacist.||The pharmacist was unfortunately biased| misinformed| and unethical.  I guess Walmart doesn't always have the best staff!||Unfortunately| this medication can only be written for a 30 day| one-time  prescription with no refills due to federal regulations| so you must get a new prescription every 30 days from your doctor and pharmacy. Also| many pharmacies do not stock it or stock very little.  The presription must be filled exactly as written so it is sometimes time-consuming and inconvenient to obtain and you might have to ""Pharmacy shop"".||Withdrawal off this medicine is worse than coming off of heroin and much more dangerous| so do not attempt withdrawal unless under medical care.||I know from trying to take myself off of it| what a nightmare!  My doctor explained the difficult dynamics of withdrawal compared to other pain medications and even heroin.  After two weeks of cold turkey I already knew.||Do not start to take this medicine unless other pain medications are ineffective.\ I recommend this only because of the severity of trying to withdraw from it.||I wish I had known this before starting on it.",55-64,Female
894,895, Jac| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,3,"I developed a severe case of carpal tunnel syndrome almost 2 yrs ago and started methadone to avoid hydrocodone| which I had a problem with @ 5 yrs prior to that. It worked fine| I had surgery which relieved all my pain| but was left ""stuck"" on the methadone. I was taking 100 (liquid) for a little over a year and wanted to come down and eventually off for a long time| but having found out that I had Hep C| doc didn't think I could handle withdrawing from the methadone and interferon at the same time. OK. Doc said I didn't need interferon immediately| so I could take time to come off methadone| then do treatment.  Time passes| I continue on the methadone| scared to stop b/c of all the horror stories. Now I have been off methadone almost 2 wks.  I went from 40 ( I had been there a while)| down 8 a day (40|32|24|16|8|0). I was mentally prepared to be sick| I THOUGHT.  My blood pressure is high and heartrate is at a constant 140. How long is this nightmare going to last??? To try and function as somewhat of a normal person and keep my job| I have gotten some low dose hydrocodones to maybe take the edge off.  It doesn't help much. I am not craving a high at all and don't feel dope sick. Just extreme panic| shaking| and heart beating out of my chest. I thought after a wk or so| that would go away| but no.  I am barely hanging on and do not want to go back on the methadone!!  Anybody have any advice?!?",25-34,Female
895,896, jud| 25-34 Male  on Treatment for 10 years or more (Patient) ,4,4,1,Iam a pain pill abuser until i found this gret med called methadone of course higher than a tab or vicodine.I tryed suboxone but it costed my 200 a visit 30 for script 30 for gas the clinc is 58 miles away from me.The methadone clinc is same distance and it 75 for screnning 95 for doctor visit and 95 a week i have to be there everyday to so thats like a 100 in gas.I was just wanting to know i have a family doctor and iam thinking bout asking him if he can help.I have headaches so bad my body aches i try not to think bout it but its hard living years with them now with out them.If any advice please email me [email protected] thanks,25-34,Male
896,897, Donna| 55-64 Female  on Treatment for 5 to less than 10 years (Patient) ,3,4,2,Two years ago I took myself off of methadone because I was having acupunture and I was feeling a lot better. The doctor left my clinic and I was only taking hydrocodone and still in pain.My doctor suggested that I start back on methadone due to liver problems with hydrocone.This was six months ago| I feel a little better but I am in constant pain. I am on 10mg. 3 times a day. Not very much| I still take hydrocodone as a prn.and flexaril also. I have RA and fibromyalgia and many other health problems.,55-64,Female
899,900, 25-34 Male  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,The best hand down pain reliever that can be prescribed. It has helped me back to a almost normal life but I was taking the 40mg tablets and they took them off the market 01/01/08 which I am still hurting because I have to take less 10mg tablets the reason they did this is so the goverment would make more money in the methadone centers which is bull**** sorry for spelling errors it just gets me mad.,25-34,Male
900,901, 45-54 Female  on Treatment for less than 1 month (Patient) ,1,4,1,I was prescribed 5 mg 3X a day for severe headaches| along with vicodin (have been taking the vicodin for a while| and works well).  I took one pill and felt foggy for hours| could not function.  Then I started researching on the internet and it scared the hell out of me| so I didn't take anymore. Called the DR and said I wouldn't be taking it. I would rather just take the vicodin| as I can function taking it| and it leaves your body quickly| unlike the methadone.,45-54,Female
902,903, Robin| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,4,2,2,DO NOT DOUBLE DOSE!! I in MMT thru a clinic for 4 years and once I got take-home doses| began to slowing increase dose til I ended up having to use a week's worth in 3 days to get by and spend the other 4 in horrible withdrawal. I am now on Suboxone and the switch hasnt been easy| but its heaven compared to the hell I took myself to. Please heed this warning. I wouldnt wish my past on absolutely anyone!!!,25-34,Female
903,904, devschica| 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) ,3,3,1,Please be careful.  Methadone is bad for you.  I understand fully that some people may need it for pain| I used to| but I would highly suggest looking at other options.,25-34,Female
904,905, cathy| 35-44 Female  on Treatment for 1 to 6 months (Patient) ,3,3,2,s dont seem yo work well seems like i have to increase dose.,35-44,Female
905,906, AmyBeth| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,3,1,1,I have been in the methadone maintainice program for three years to treat an addiction to heroin| oxycontin| and morphine. I detoxed from 110 mg/day to 25 mg/day. I was also prescribed xanax for panic attacks and axiety. When I reached 25 mg/day| i could no longer work or function and went to rehab to detox. My last dose of methadone was July 2| 2008 and I'm still feeling like hell. It's certainly not as bad as it was 3 days after my last dose| but it's still hard. My hands constantly shake| horrible leg cramps| excessive sweating( I soak my shirts which is embarassing) anxiety| no appetite|headaches|on top of all that i have a constant urge to use. not once in awhile| but all day long. When i was on methadone I could at least say i had no cravings for opiates| but now it's all i think about. I go to meetings and I seriouly trying to conquer this| but it's become very discouraging.,25-34,Female
906,907, wv2ny31| 19-24 Female  (Caregiver) ,1,1,1,My husband was given this drug for back pain| he was misdiagnosed| overdosed| and died.,19-24,Female
907,908, [email protected]| 25-34 Male  on Treatment for 10 years or more (Patient) ,5,5,5,his has really help me stay heroin free for 8 years now that i have a treatment pla it has work 8 years july 25 it cost my wife and i 750 dollars a month on treatment and we have a child on  the waay and need to save money,25-34,Male
908,909, MAMA MIA| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,3,2,2,"I used the Methadone to help with my years of pain pill addiction (taking up to 20-25 Lortab 10/500 per day).  I was put on methadone for opiate withdrawals| however I found that with my addictive personality with pain meds| I got addicted to methadone too.  BUT...I FOUND THE MIRACLE DRUG---SUBOXONE!!  Suboxone has saved my life| I can now go on living my day without worrying about where I'm going to get my next methadone (because I ended up taking more than what I was supposed to so I could get ""high""...) I started taking pain pills again and this vicious cycle was literally killing me.  Suboxone was a ""god-send"".  It takes the withdrawal symptoms of any opiate or heroin away and suppresses any cravings and allows you to go on with your life and enjoy the things you used to enjoy before this addiction took over your life.  Believe me....I know how bad withdrawals are off of heroin| hydrocodone| oxycontin| and methadone...SUBOXONE KICKS ITS A#%... HOPEFULLY THIS WILL HELP SOMEONE OR ALOT OF ADDICTS OUT THERE THAT HAVE RAN OUT OF OPTIONS| OR HAVE NO HOPE LEFT.  I PROMISE| IF YOU TALK TO YOUR DOCTOR OR THERE ARE EVEN TREATMENT CENTERS THAT YOU CAN GO TO WHERE I LIVE THAT IS STATE SPONSORED THAT USE SUBOXONE| NOT METHADONE TO HELP US!!! GOOD LUCK IN YOUR STEPS TOWARDS BEING SOBER AND DON'T GIVE UP..THIS STUFF WORKS AND IT IS NOT ADDICTIVE LIKE METHADONE AT ALL.  GOD BLESS AND QUIT FEELING SICK AND TIRED AND BEAT THIS THING| BECAUSE THERE ARE PEOPLE THAT NEED YOU AND LOVE YOU AND WANT YOU TO GET BETTER...I'M ONE OF THOSE PEOPLE!!",25-34,Female
909,910, HURSTNURS1| 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) ,5,5,5,SUCESSFUL IN CONTROLING CHRONIC BACK PAIN WHEN OXYCONTIN WOULD NOT WORK ANY LONGER,55-64,Female
910,911, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,4,4,"I am a 28 Year old wife and mother. I lost everything to pain pill use and no doubt about to die or be in jail. I have been able to turn my life around| get my family back| keep a good job| basically LIVE because of my methodone treatment. If it is used right the benifits to being able to brake that dependency on a drug (that after 6 years of opiod abuse)My body had to have or I felt like dying. I have to say only good things about CORRECT Methadone treatment. through only GOD""S WILL I am still alive and meathadone is what has helped me get off pills.",25-34,Female
911,912, Guy| 45-54 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,I have used this drug for major back pain| and RLS not treatable through normal meds from the Parkinson family of drugs like Mirapex etc. and so far this is the only true long lasting opiod for me. I would recommend it for anyone who requires a deep pain reliever| as it doesn't fog your mind like other drugs.,45-54,Male
912,913, sandracfla35| 35-44 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,'m on methadone treatment through a clinic i go once a week to| i take 160 mgs. once a day. Before this i took probaly 20 to 25 loratab 10mgs. a day i would also take perocets| morphine roxyicets oxycotin| any pain pill i could find . I at first was getting them from my doctor for about a year and a half for pain from a car accident i was in and i hurt my back and neck bad .But the doctor was a workers comp. doctor and when i settled my case with my job the doctor said he could no longer see me and i would have to find a new doctor . I didn't realize i was addicted to pain pills till i ran out i called that doctor back and he give me a months worth and told me to wean off with that well guess what i couldn't. So i tried several other doctors none would do anything since i was now addicted to pain pills so i bought them off the street for 2 years then my friend told me about methadone and methadone treatment i go every week to get my medicine i drive 200 miles round trip. But methadone makes me now lead a very normal life i can be a good mother and wife now i have very little pain also methadone has saved my life. But i do hear the withdraws when i do come off it will be very bad .Worst then loratab withadraws could ever be. I have now taken methadone for almost 5 years anyone has personal experecince with this about methadone withdraws first hand please e-mail me @ [email protected] i would like to start the process this year.Thank you very much and may god bless you all.,35-44,Female
913,914, Angelagonzalezlawton| 55-64 Female  on Treatment for 5 to less than 10 years (Patient) ,4,5,4,hadone seems to work very well for my pain although it doesnt seem to last as long as some of the other pain meds i have taken.The only thing is that upon quiting this medication the withdral last for a very long time for me.it seems to take at least three weeks for me to be able to sleep and my pain is so intence.I actualy went five days without no sleep at all|then it took my body even longer to relax.The feeling. is horribleThat was the only bad experience i had with this medication.For pain it does work wll f,55-64,Female
915,916, bBEVERLY| 45-54 Female  on Treatment for 10 years or more (Patient) ,5,5,5,I HAVE MULTIPLE SCLEROSIS| IF IT WASN'T FOR METHEDONE I WOULD HAVE NO QUALITY OF LIFE IT SAVED MY LIFE I WAS PRESCRIPTION ADDICTED TO PRESCRIPTION LORTAB BEFORE,45-54,Female
916,917, Mark| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,"Okay| yes it can kill you| what cant? Methadone is the only pain med that has not built a rapid tolerance in fact after 3 years I still take the same dosage and it works. I have 5 compression fractures to the spine| one shot knee| Sciatica in the other leg. I cannot get out of bed until I take my morning medication. Now the reason I am responding| getting off of this drug| I was arrested on a 12 year old warrant and ended up in a Nazi run county jail| I had scripts for both Methadone and Roxycodone| they ""lost"" the Methedone and gave me hit and miss doses of the oxycodone so effectively I went through Methedone withdrawal in a jail cell with diahrreah| etc. it took about 6 or 7 days to get past the methadone but they were killing me by not giving me my Roxicodone on a regular schedule| I would start to feel human and then the Nazis would forget or lose my pill| etc. I came up about 30 pills short when I finally got out after 14 days of legal acrobatics. All in all the severe pain was the worst part| I have no sympathy for those who take this drug for addiction relief| it was invented by Nazi Germany in WWII to replace morphine and it is the only thing they did right. It works and if you are in real pain and don't abuse it| it is the best there is and I have tried them all.|People that die from OD are usually new to the drug and don't take the warnings seriously| or they buy it on the street and think it is just another codone so if 1 is good 4 must be great| right? Rest in Peace. PS the price alone would make it worthy| let the pharmaglomerates get rich on toenail fungus meds.",45-54,Male
917,918, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,3,3,3,I was addicted to pain killers and tryed to stop while I was paregnent. When I was about 4mo I told my OBGYN and he did not know what to do i went to 3 different doctors before they told me that I would have to take methadone and not only that but that I had to take it mywhole parnancy. I was so scared because know one knew but my mom and I. My daughters father would of left me for sure. So I had my doctor who gave the vicodine| Ween Me off with meathadone 10mg 3x a day. (which later I found out was ilegal)only it took longer then exspected and I had My daughter at about 36 weeks I was still taking 1 or 2 10mg a day. She had to stay in the hospital for 8 days (they really just kept her there to monitor her but she did have signs of withdrall I will never forgive myshelf ) and then I took her home and still had to ween her off with mophine. Her father still doesnt know. She is now 1yr old and she is very smart you could never tell.The worst part is im am still on methadone and I now take  160mg at a clinic. I Think that methadone should only should be used to treat heoin addiction.,25-34,Female
918,919, [email protected]| 35-44 Female  on Treatment for 10 years or more (Patient) ,5,5,3,I WISH BEFORE TAKING THIS MED. THEY WOULD HAVE TOLD ME ABOUT IT| THE RISKS| AND HOW ADDICTIVE METHADONE REALLY IS. IF ANYONE OUT THERE CAN SEE THIS| PLEASE STOP AND THINK BEFORE GETTING ON THIS DRUG. I STARTED METH. AT 21 HERE I AM AT 39 STILL STRUGGLING TO GET OFF IT. I WANT TO HAVE BABIES. I TRIED TO GET OF METH 5 TIMES AND IT IS EXTREMELY HARD. DO NOT LET ANYONE TELL YOU DIFFERENT TO GET OFF YOU HAVE TO WANT IT FOR YOURSELF AND NO ONE ELSE| YOU HAVE TO BELEIVE IN YOU. DON'T GET ME WRONG IT IS GREAT TO HAVE ALL THE PEOPLE THAT LOVE YOU AROUND TO GIVE YOU STRENGTH & LOVE BUT THEY CANNOT DO IT FOR YOU. GOOD LUCK TO ALL AND MAY GOD BE WITH US ALL!!!,35-44,Female
919,920, [email protected]| 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,1,2,1,rst of all I had to travel 160 miles round trip for the first 6 months of treatment (rain| snow| sleet or anything else mother nature can summon.  By six months I was so hooked on methadone| I thought their was no way out.  Until I met Suboxone.  Suboxone has so far saved my life.,25-34,Male
920,921, kelly| 19-24 Female  on Treatment for 1 to 6 months,4,4,5,have truma to my chest after a spontainious pneumothorax has this happend to anyone else|,19-24,Female
921,922, vote4pido| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,4,5,When I entered tne methadone maintenance program my habit had grown to at least 4 bundles of heroin a day.... The first couple weeks were a bit tough...but nothing in comparison to straight withdrawals.  Howeve| if you follow the program and take your correct dosage| the cravings will soon be gone.  I've now been on methadone for aprox. 2 years| and my life now is as good| if not better than| before I started using opiates in the first place.  If yu have an opiate addiction I very highly recomend at least iving methadone a try.,25-34,Female
922,923, armslee| 35-44 Female  on Treatment for 1 to 6 months (Patient) ,4,2,4,Pills are somewhat hard to swallow and leave a terrible taste in your mouth.  Decreased appetite.  Controls my nightime pain much more effectively over oxycontin.  My pain doc just increased my dosage from 10mg 3 X day to 4x day due to need for additional breakthrough medication.,35-44,Female
924,925, SouTexJD| 25-34 Male  on Treatment for less than 1 month (Patient) ,4,4,1,I was crushed by 3 tons several years ago and had reconstructive knee and back surgery.  I took methadone for pain caused by severe nerve damage.  It worked for the first three days but on the forth day things got very interesting... when I woke up I literally was unable to move due to muscle weakness. When I did manage to get some strength I had to deal with the WORST headaches I have ever experienced (and I have migraines and cluster headaches)as well as severe tremors.  I thought I was dying.  Then to top it all off i got a nifty rash from this stuff.  Prior to me taking this as part of a pain management program I had been on numerous other pain meds.  It does work but watch out for the side effects and allergic reactions.  I hate having to take opioads for pain but at least I am able to function.  Methadone made me bed ridden for 16 days - my doctor took me off of it after day five and stuck me in the hospital for observation.  Not only did I have to deal with side effects and allergic reaction but on top of that it prevented other pain medication for working properly.  If you have no reaction to it I know it relieves pain but make sure you monitor yourself when you start methadone. As for its other uses I can say that methadone saved a relative from heroine addiction and certain death.,25-34,Male
925,926, Marty Walker| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I take 4 x day| 10 mgs Methadone a day for pain from back surgery ( spinal fusion ) and then getting run over at work post surgery. Nothing else worked. While people who really look for relief from pain| others looking for a high just might die. The time it stays in the body is long term| and people who take it to get high usually can die. I've seen reports where just 1 pill kills. I think death should be listed as the biggest side effect and Doctors really need to talk to their patients about all the risks with this medication. ||All in all it works well for me but I'm scared of it. By the way| the doctors tried every pill known and nothing worked well for pain like thin one.,45-54,Male
927,928, easy| 55-64 Male  on Treatment for 1 to 6 months (Patient) ,3,4,3,Seems like it would work at a highe dose/,55-64,Male
928,929, Ashleynalyssa| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,"This medication has saved my life| I started on methadone july of 2005| because of opiate dependency. I never crave or want to use while on methadome. 2 months later I got pregenant with my daughter| and if I hadnt been on the methadome| I dont know what all I would have been taking and doing to get my ""high"". I'am still currently on it| just a very low dose| and I live a normal life with my beautiful 2 year old.  I can have a normal life| b/c of this drug. I can hold down a job| and take care of my daughter and husband. Before| if I didnt have something to take I wouldnt go to work| b/c of the withdraws. With the methadone you dont have to go threw that| you feel normal| you have enegry!! Like I said before this drug my not be for everybody but it litterally saved my life and help begin my daughters.",25-34,Female
929,930, angeluvsan| 45-54 Female  on Treatment for 6 months to less than 1 year (Caregiver) ,4,3,2,he clinic that my better half goes to is not well run. they have made a mistake with their dosing|with their machine that sends the dose out.They are not very discreet I really wished that I could get a medical dr to presribe me my meds at his office instead of this clinic,45-54,Female
930,931, recovering addict| 35-44 Male  on Treatment for 1 to 6 months (Patient) ,4,5,3,has made me feel very ill.,35-44,Male
933,934, frankyp| 25-34 Male  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,I have taken this methadone for a year now for severe back pain.Its worked seemlessly accept for the craving for sweets and being able to defacate without a big fight!,25-34,Male
934,935, LORI B| 25-34 Female  on Treatment for 5 to less than 10 years (Patient) ,3,1,1,DON'T EVER| EVER| EVER| TAKE THIS DRUG. I WAS ON IT FOR OVER FIVE YEARS AND EVENTUALLY IT CAUSED MORE SIDE EFFECTS AND HEALTH PROBLEMS. WEIGHT GAIN|INCREASED APPETITE| TREMORS|SEVERE DEPRESSION.ANXIETY|COLD SWEATS|LOSS OF INTEREST IN DOING ANYTHING. IT WAS ALL GRAVY FOR THE FIRST 4 YEARS. AFTER THAT THE DEPRESSION WAS SEVERE.I DIDN'T KNOW IT WAS THE METHADONE UNTIL I TALKED TO A PHARM-D DOCTOR.I ENDED UP NOT BEING ABLE TO GO TO THE BATHROOM BECAUSE OF SEVERE CHRONIC CONSTIPATION. I GAINED OVER 100LBS. TAKE A GOOD LOOK AT THE SIDE EFFECTS BEFORE YOU DECIDE YOUR A LIFER. GO TALK TO A PHARMACIST AND SEE IF THEY TELL YOU METHADONE IS SAFE!! EDUCATE YOURSELF BEFORE YOU MAKE A COMMITTMENT. OH| AND LET'S TAKE ABOUT WITHDRAWEL. IT'S HORRIFIC AND IT SEEMS TO GO ON FOREVER.METHADONE STORES IN YOUR LIVER| SO DON'T THINK A WEEK AND YOU'LL BE ALL GOOD. THAT'S EVEN WITH A TAPER!!!! IT TOOK 9 WEEKS TO EVEN FEEL HALF WAY DECENT. YOU BETTER HAVE A GOOD SUPPORT OR FAMILY. FOR ME I TURNED TO GOD. I DON'T WANT ANYONE ELSE TO EVER GO THROUGH WHAT I DID. GOD BLESS,25-34,Female
935,936, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,Although I'm still on this treatment I feel it has saved my life.Without it I would probably be homeless and would've lost my child.I'm very happy with my treatment.I think if used correctly and not as a back up plan as a lot of addicts use it for it wouldn't have such a bad rep.,25-34,Female
936,937, Matt| 25-34 Male  on Treatment for 1 to less than 2 years (Patient) ,5,3,4,I have used this drug for 2 years and have been clean for two years. I am on my last week now. DO NOT USE THIS DRUG TO APPEASE YOUR FAMILY OR ANYONE ELSE| IF YOUR NOT 1000% READY FOR YOURSELF DON'T DO IT. It's not healthy to start the day out on methadone if your still going to use other narcotics| that can mess you up worse and I watched someone die from it and it's ugly slow overdose. Also don't increase too high because you get wasted for a while but you get used to it and then your body craves more. Then you're one of those douchebags on a 150 mg when really you only need 80. I honestly feel better dosing off than I did at 100 mg| don't be a retard.,25-34,Male
937,938, okiemom| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I have been on this for 4 years now due to RSD. It has worked pretty good. There are times I do have to take something else when this wont block the pain.  The first 6 months was hard due to it making me sleepy. But after that is was fine.,35-44,Female
938,939, cougarcaddy1| 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,4,5,4,began taking it after major spinal fusion| instead of more hydrocodone and flexer,35-44,Female
940,941, comfypants2000| 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,5,3,2,VERY ADDICTIVE...WITHDRAWLS FROM THE FIRST PILL!!!I have been told by University of Michigan specialists that I have the worst Severe TMJ/TMD they have ever seen.  This med. helped the pain but the blurry vision| sweats & fever drove me and my hubby nuts.I became very moody and unbearable. I was put on 80mg percoset w/ 100mg morphine to replace this drug.,25-34,Female
941,942, packermama| 35-44 Female  on Treatment for 10 years or more (Patient) ,4,5,5,I have been on Methadone for many years. I have found this to work far better than any other pain med.I can function normal|with the other ones i felt like i was high. With Methodone y,35-44,Female
942,943, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) ,4,4,4,I take it for addiction and pain and it works good for me.,45-54,Male
943,944, 35-44 Female  on Treatment for 1 to 6 months (Patient) ,1,1,1,I have chronic nerve pain and rsd in my foot from a fractured ankle and have been at a 8 pain level for over a year. I was on morphine| oxycodone| neurontin| naproxin| and tylenal and was able to at least do things in my day. But now I have been on mthadone 5mg 2x a day for three months now and have been so sick that I can't eat| my heart feels like something is squeezing it and it beats super fast then really slow. I went from 121 lbs a week before I started to 100 lbs and I'm 5'9. I feel like crap and spend more time in bed then before. I had and ekg and they found big problems from this drug. I had to be on a mobile ekg for weeks afterwards to monitor my heart and felt like I was having a heart attack for sometime. I would be very careful when starting this drug as the side effects are not ones to mess with! Take care!,35-44,Female
944,945, countrygirl006| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,4,4,4,I have been on Methadone for over 3 years due to RSD or CRPS (severe chronic pain due to auto accident & then back surgery).  I take 60mg a day & it does help.  I also take 1 other narcotic & several other non-narcotic| but prescribed pain pills & muscle relaxers.  I also have an implanted pain pump & stimulator.  The one problem I have with the Methadone is the sweating.  No matter what the temp is| I seem to sweat constantly & I really hate that part of it! Otherwise| the pills have helped with the pain.  My doctor told me I would probably be on Methadone for life.,45-54,Female
945,946, Denise| 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) ,3,4,4,This medication makes me real tierd I find myself sleeping in places I would never sleep in the past. My muscels feel real sore often as if I lift many weights but realy dont do much.,45-54,Female
946,947, chazzy31| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,4,5,4,I took it along with roxicodone to treat extreme pain for a mild form of muscular dystrophy and pain after a very serious assault on me. the doctor has reduce my number of roxicodone a day and increased my number of methadone a day in an effort to get me off of the roxicodone.,25-34,Female
952,953, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,as allowed me to go on with my daily life to make it more tolerable in raising my three children w/my wife and to think about future plans rather than when will this pain end.|The pain is not compleatly removed from my life but boy is it great to atleast think nowadays,45-54,Male
953,954, StillClean| 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,I started taking mathadone as part of a maintainence program to help with narcotic addiction. It was very effective and I am very satisfied with the medication.,25-34,Female
954,955, 25-34 Male  on Treatment for 5 to less than 10 years (Patient) ,5,3,4,hadone has helped me get my life back together and I am very grateful for this.,25-34,Male
955,956, WIFE| MOM| 45-54 Female  on Treatment for 10 years or mo,5,5,3,I have been a herion addict since the late 60s early 70s I've been in MMT for 12yrs. I am now at the point where I'm almost off. I've gone from 120mgs to 25mgs & hope to be off by this time next yr.MMT is the only thing that has ever worked for me with regards to my disease [addiction] for those of you who think people in mmt aren't in recovery please educate yourselves for those of you who think you can never get off you can. YOU HAVE TO BE REALISTIC & GO SLOWLY. GOOD LUCK,45-54,Female
957,958, patpooks| 45-54 Female  on Treatment for less than 1 month (Patient) ,1,1,1,I just started methodone for 3 days does not work well for me i have been on vicodin for 5 years does not even take the craving away constipation and tired would not recommended it.only if you take her,45-54,Female
958,959, rrredhd| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,5,3,3,I have RA & Fibromyalsia| nothing was working anymore and we were talking about opiate use. Methadone changed my life! I take 30 mg 3X daily on my worst day| it has been very slowly climbing in tolerance levels but I have been on it over 4 yrs now and aside from being sick of having to take pills every day...I can bend| cook| wash dishes| bathe myself and drive as long as I watch my dosage. It doesn't have the long term tolerance problem I had with vicodan and lortab and even percocet. It holds alot longer| and I have been able to live again. I couldn't bend down| squat| get up from a squat| climb stairs or climb into a car or tub before my methadone treatment. I recommend this therapy for all those who have terminal pain that need something forever. The methadone along with ibuprofen is almost a miracle cocktail if you don't have problems with hepatitus C or liver problems. I do tire of pill popping| it almost gags me and I would love to be able to just dose myself with a patch or something along that line| that would make it as perfect as I could ask for.,45-54,Female
960,961, Leanne| 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,4,2,3,I started methadone to replace oxycontin use and i have somewhat chronic pain and bad headaches. I have been on methadone for 1 year and 6 months. I am 35 years old. I am unmemployed due to depression and anietxy. My mehtadone dose is 280 mg which i take in the late morning and it is good for 24 hours.  I also have tylenol #4 for breakthru pain.  I have trouble with the taste of the methadone and drinking it gags me!  I also get quite tired in the afternoon and usually end up taking a nap or two.  I do find I sweat alot. Sometimes I wonder if maybe I should stop taking it? But it does work so why would I| i guess.  I did read on this website about another drug called subutex and was quite interested in it but don't know much about it. So for now I'll stick with what's working even thought I can't stand the taste and it makes my stomach nasusa.  It keeps the pain somewhat at bay| not my headaches though. It does keep the cravings for opiates away.,35-44,Female
